iter	Passed	Remaining
0	34	109569
1	67	108097
2	100	107448
3	135	108410
4	168	107986
5	202	107542
6	238	108583
7	272	108820
8	306	108515
9	339	108198
10	374	108650
11	407	108323
12	440	108094
13	474	107909
14	506	107630
15	538	107197
16	571	107048
17	607	107311
18	640	107221
19	673	107161
20	705	106851
21	736	106325
22	767	106071
23	799	105843
24	835	106078
25	866	105818
26	898	105612
27	930	105374
28	961	105117
29	992	104895
30	1024	104727
31	1055	104526
32	1088	104428
33	1121	104474
34	1156	104617
35	1190	104624
36	1224	104696
37	1259	104811
38	1296	105103
39	1334	105411
40	1369	105547
41	1404	105621
42	1441	105810
43	1475	105814
44	1509	105806
45	1542	105772
46	1578	105867
47	1614	106038
48	1649	106058
49	1679	105818
50	1714	105845
51	1738	105262
52	1771	105214
53	1807	105284
54	1840	105252
55	1873	105204
56	1905	105069
57	1941	105182
58	1976	105240
59	2011	105265
60	2044	105193
61	2078	105214
62	2113	105230
63	2145	105122
64	2178	105048
65	2211	104991
66	2244	104941
67	2278	104940
68	2312	104912
69	2345	104861
70	2378	104829
71	2411	104763
72	2443	104654
73	2476	104634
74	2510	104585
75	2542	104517
76	2574	104413
77	2610	104474
78	2643	104445
79	2677	104413
80	2711	104404
81	2744	104371
82	2780	104416
83	2813	104375
84	2849	104439
85	2884	104454
86	2919	104462
87	2953	104459
88	2988	104471
89	3023	104463
90	3055	104374
91	3088	104322
92	3120	104263
93	3153	104207
94	3187	104174
95	3220	104132
96	3254	104094
97	3290	104149
98	3322	104084
99	3357	104096
100	3393	104109
101	3425	104049
102	3460	104051
103	3492	103958
104	3526	103951
105	3557	103839
106	3589	103748
107	3619	103633
108	3651	103562
109	3685	103536
110	3718	103488
111	3752	103449
112	3786	103452
113	3819	103406
114	3856	103444
115	3890	103424
116	3923	103386
117	3955	103300
118	3989	103282
119	4021	103222
120	4055	103188
121	4089	103174
122	4122	103126
123	4152	103020
124	4185	102967
125	4219	102939
126	4257	103025
127	4286	102874
128	4318	102809
129	4358	102922
130	4394	102954
131	4427	102914
132	4460	102857
133	4495	102855
134	4529	102840
135	4561	102775
136	4593	102710
137	4626	102661
138	4661	102662
139	4694	102612
140	4731	102657
141	4768	102688
142	4802	102673
143	4839	102696
144	4891	103055
145	4928	103086
146	4965	103132
147	5008	103283
148	5049	103391
149	5083	103362
150	5122	103431
151	5157	103419
152	5195	103467
153	5231	103481
154	5274	103610
155	5312	103656
156	5352	103737
157	5388	103743
158	5424	103743
159	5469	103912
160	5511	104032
161	5544	103971
162	5579	103948
163	5613	103920
164	5646	103866
165	5680	103831
166	5714	103789
167	5744	103680
168	5779	103657
169	5811	103584
170	5844	103522
171	5879	103501
172	5913	103465
173	5947	103437
174	5980	103380
175	6013	103323
176	6045	103246
177	6081	103242
178	6114	103201
179	6148	103158
180	6180	103089
181	6215	103059
182	6246	102988
183	6279	102927
184	6312	102876
185	6347	102853
186	6387	102918
187	6419	102855
188	6452	102794
189	6482	102699
